Province Name,#Classrooms - Kindergarten,#Classrooms - Primary School,#Classrooms - Secondary School,#Classrooms - High School,#Students - Kindergarten,#Students - Primary School,#Students - Secondary School,#Students -High School,#Teachers - Kindergarten,#Teachers - Primary School,#Teachers - Secondary School,#Teachers - High School,#Schools - Kindergarten,#Schools - Primary School,#Schools - Secondary School,#Schools - High School,Schooling Ratio - Kindergarten,Schooling Ratio - Primary School,Schooling Ratio - Secondary School,Schooling Ratio - High School,Student per Teacher - Kindergarten,Student per Teacher - Primary School,Student per Teacher - Secondary School,Student per Teacher - High School,Student per School - Kindergarten,Student per School - Primary School,Student per School - Secondary School,Student per School - High School,Student per Classroom - Kindergarten,Student per Classroom - Primary School,Student per Classroom - Secondary School,Student per Classroom - High School,Education Budget per Student,HDI Index,
Adana,1997,6683,5074,5607,44379,165865,174472,158814,2646,8749,10060,9577,694,510,383,310,65.39,93.91,95.89,83.57,16.77210884,18.95816665,17.34314115,16.58285476,63.94668588,325.2254902,455.54047,512.3032258,22.22283425,24.81894359,34.38549468,28.32423756,21.22360679,0.819,"11,535,667"
Adıyaman,636,2334,2257,1932,13560,48952,52676,50751,832,2986,4105,3544,325,419,250,115,71.51,92.96,96.35,84.42,16.29807692,16.39383791,12.83215591,14.32025959,41.72307692,116.8305489,210.704,441.3130435,21.32075472,20.97343616,23.3389455,26.26863354,18.39102321,0.777,"3,051,788"
Afyonkarahisar,761,3165,2348,2173,12924,42032,46309,46188,848,3018,3495,3266,397,365,290,143,75.2,93.33,95.82,82.91,15.24056604,13.92710404,13.25007153,14.14206981,32.55415617,115.1561644,159.6862069,322.993007,16.98291721,13.28025276,19.72274276,21.25540727,22.92434878,0.819,"3,380,264"
Ağrı,604,3496,1748,1375,11930,49626,54653,37998,617,3149,3798,2087,434,584,267,78,59.27,91.5,94.31,59.59,19.33549433,15.75928866,14.38994207,18.20699569,27.48847926,84.9760274,204.6928839,487.1538462,19.75165563,14.19508009,31.26601831,27.63490909,20.84908597,0.8,"3,215,075"
Amasya,405,1188,1084,1154,6735,16461,18559,21394,475,1220,1640,1776,171,120,103,73,88.09,94.4,97.89,95.15,14.17894737,13.49262295,11.31646341,12.04617117,39.38596491,137.175,180.184466,293.0684932,16.62962963,13.85606061,17.12084871,18.5389948,34.52843275,0.82,"2,180,436"
Ankara,6550,14455,12890,16204,100858,316531,346345,371499,7077,19410,23732,29403,1772,869,871,946,68.96,94.73,96.87,93.58,14.25151901,16.30762494,14.59400809,12.63473115,56.91760722,364.2474108,397.6406429,392.705074,15.39816794,21.89768246,26.86927851,22.9263762,70.61510633,0.816,"80,164,599"
Antalya,3336,8466,5208,6840,55460,146790,158195,167311,4015,8972,11037,11562,1001,560,622,395,83.89,93.85,95.33,89.77,13.8132005,16.36090058,14.33315212,14.4707663,55.4045954,262.125,254.3327974,423.5721519,16.62470024,17.33876683,30.37538402,24.46067251,20.69554302,0.819,"10,922,197"
Artvin,155,611,364,532,2964,7066,7994,9467,203,528,735,829,73,49,56,41,83.8,93.31,97.42,94.63,14.60098522,13.38257576,10.87619048,11.41978287,40.60273973,144.2040816,142.75,230.902439,19.12258065,11.56464812,21.96153846,17.79511278,60.42824925,0.824,"1,661,233"
Aydın,1102,3649,2487,2925,20187,55337,61073,62249,1387,4093,4758,5192,468,341,247,182,79.01,94.35,96.46,87.84,14.55443403,13.51991204,12.8358554,11.98940678,43.13461538,162.2785924,247.2591093,342.0274725,18.3185118,15.16497671,24.55689586,21.2817094,25.61241866,0.84,"5,092,927"
Balıkesir,1272,3568,2680,2954,21451,54822,60795,66137,1439,3910,5089,5587,499,330,263,190,84.13,94.53,96.83,89.35,14.90687978,14.02097187,11.94635488,11.83765885,42.98797595,166.1272727,231.1596958,348.0894737,16.86399371,15.36491031,22.68470149,22.38896412,32.83124923,0.858,"6,671,474"
Bilecik,248,744,474,516,4226,10938,11704,12695,260,650,822,864,71,57,54,46,81.35,94.59,95.74,90.08,16.25384615,16.82769231,14.23844282,14.69328704,59.52112676,191.8947368,216.7407407,275.9782609,17.04032258,14.7016129,24.69198312,24.60271318,31.5672219,0.813,"1,248,894"
Bingöl,257,1029,945,817,5443,18718,20899,19942,318,1267,1670,1363,152,201,104,52,73.54,91.62,96.01,78.74,17.1163522,14.77348066,12.51437126,14.63096112,35.80921053,93.12437811,200.9519231,383.5,21.17898833,18.19047619,22.11534392,24.40881273,41.58776653,0.85,"2,703,288"
Bitlis,479,2300,1284,949,8091,28706,32877,26937,461,2067,2656,1472,289,426,201,68,66.81,91.48,95.45,65.6,17.55097614,13.88776004,12.37838855,18.29959239,27.99653979,67.38497653,163.5671642,396.1323529,16.8914405,12.48086957,25.60514019,28.38461538,30.58461252,0.842,"2,954,810"
Bolu,314,1061,656,895,5133,14791,16173,19499,362,959,1302,1561,94,69,73,61,75.38,94.01,96.14,99.44,14.17955801,15.42335766,12.42165899,12.4913517,54.60638298,214.3623188,221.5479452,319.6557377,16.34713376,13.94062205,24.65396341,21.78659218,40.47476437,0.85,"2,250,235"
Burdur,270,957,606,754,5244,12396,13557,15422,319,997,1262,1278,120,88,88,60,94.75,93.82,93.67,89.32,16.43887147,12.4332999,10.74247227,12.06729264,43.7,140.8636364,154.0568182,257.0333333,19.42222222,12.95297806,22.37128713,20.4535809,34.83041249,0.819,"1,623,759"
Bursa,3200,8217,5757,7956,56302,188698,196287,193586,3284,9964,11468,14680,926,499,531,436,70,94.53,96.21,89.03,17.14433618,18.93797672,17.11606209,13.18705722,60.8012959,378.1523046,369.6553672,444.0045872,17.594375,22.96434222,34.09536217,24.33207642,18.99114154,0.84,"12,056,963"
Çanakkale,545,1498,962,1288,9346,23135,24790,26159,716,1612,1998,2447,193,127,111,105,81.39,94.52,95.54,89.96,13.05307263,14.35173697,12.40740741,10.69023294,48.42487047,182.1653543,223.3333333,249.1333333,17.14862385,15.44392523,25.76923077,20.30978261,39.84618243,0.813,"3,324,367"
Çankırı,154,567,497,517,2868,8635,9371,10222,180,507,648,770,57,57,55,40,68.3,89.66,90.23,82.57,15.93333333,17.03155819,14.46141975,13.27532468,50.31578947,151.4912281,170.3818182,255.55,18.62337662,15.2292769,18.85513078,19.77176015,42.69192179,0.82,"1,327,548"
Çorum,436,1863,1281,1670,8876,27374,30636,34789,604,1755,2412,2690,183,183,157,107,73.29,93.76,95.71,91.56,14.69536424,15.5977208,12.70149254,12.93271375,48.50273224,149.5846995,195.133758,325.1308411,20.35779817,14.6935051,23.91569087,20.83173653,24.31287927,0.82,"2,472,012"
Denizli,1256,3402,2802,3091,21519,54904,60504,63370,1473,3803,4991,5399,444,284,263,185,82.32,94.19,95.32,89.81,14.6089613,14.4370234,12.12262072,11.73735877,48.46621622,193.3239437,230.0532319,342.5405405,17.13296178,16.13874192,21.59314775,20.50145584,22.98563134,0.84,"4,603,953"
Diyarbakır,1801,6426,3924,4726,52102,151331,161511,135673,2156,8345,9775,7710,993,864,519,257,80.81,92.74,95.9,71.45,24.16604824,18.13433194,16.52286445,17.59701686,52.46928499,175.1516204,311.1965318,527.9105058,28.92948362,23.5497977,41.15978593,28.70778671,24.02880446,0.765,"12,029,228"
Edirne,376,1244,860,1039,6595,16519,17618,18140,419,1268,1500,1873,146,107,97,75,88.23,95.13,95.13,85.52,15.7398568,13.02760252,11.74533333,9.68499733,45.17123288,154.3831776,181.628866,241.8666667,17.53989362,13.27893891,20.48604651,17.45909528,48.77911401,0.842,"2,871,724"
Elazığ,506,1852,1249,1640,10128,34555,39395,41928,573,2233,2921,3279,211,187,146,103,71.01,92.55,96.96,89.48,17.67539267,15.47469772,13.48681958,12.78682525,48,184.7860963,269.8287671,407.0679612,20.01581028,18.65820734,31.54123299,25.56585366,47.68945923,0.777,"6,009,158"
Erzincan,268,854,731,684,5560,12019,12602,14491,346,895,1200,1255,123,87,71,53,94.92,93.92,95.53,91.4,16.06936416,13.42905028,10.50166667,11.54661355,45.20325203,138.1494253,177.4929577,273.4150943,20.74626866,14.07377049,17.23939808,21.18567251,45.16768893,0.777,"2,017,731"
Erzurum,771,3214,2562,2411,13124,49959,55661,57639,824,3339,4584,3902,423,655,334,139,59.77,92.6,95.65,77.15,15.92718447,14.96226415,12.14245201,14.77165556,31.02600473,76.27328244,166.6497006,414.6690647,17.02204929,15.54418171,21.725605,23.90667773,39.30728018,0.8,"6,933,136"
Eskişehir,913,2327,1525,2188,16242,41928,45711,51711,1119,2934,3468,4275,274,151,138,130,82.7,94.57,96.56,94.19,14.51474531,14.29038855,13.18079585,12.09614035,59.27737226,277.6688742,331.2391304,397.7769231,17.78970427,18.01804899,29.97442623,23.63391225,39.39998843,0.82,"6,130,323"
Gaziantep,1698,6482,5670,5567,47351,216839,214517,168889,2340,9530,10941,9505,597,536,379,308,58.82,94.01,95.53,79.36,20.23547009,22.75330535,19.60670871,17.76843766,79.31490787,404.5503731,566.0079156,548.3409091,27.88633687,33.4524838,37.83368607,30.3375247,13.04848856,0.765,"8,450,149"
Giresun,406,1352,1042,1390,7680,18609,21298,25536,517,1279,1935,2258,190,116,138,98,83.9,91.84,94.72,92.88,14.8549323,14.54964816,11.00671835,11.30912312,40.42105263,160.4224138,154.3333333,260.5714286,18.91625616,13.76405325,20.43953935,18.37122302,33.96912052,0.824,"2,483,924"
Gümüşhane,132,346,517,377,2335,5369,6205,7049,143,423,656,584,56,54,56,34,62.28,68.2,68.9,63.28,16.32867133,12.69267139,9.458841463,12.07020548,41.69642857,99.42592593,110.8035714,207.3235294,17.68939394,15.51734104,12.00193424,18.69761273,44.64066228,0.824,"935,579"
Hakkari,208,958,548,771,6200,20395,25222,25093,335,1295,1742,1241,153,212,108,53,69.52,88.19,90.03,71.09,18.50746269,15.74903475,14.47876005,20.21998388,40.52287582,96.20283019,233.537037,473.4528302,29.80769231,21.28914405,46.02554745,32.5460441,65.66550514,0.765,"5,050,334"
Hatay,1823,7046,4461,4481,41343,145091,150391,127697,2308,8443,9370,8002,749,591,469,252,75.85,94.01,96.25,85.21,17.91291161,17.18476845,16.05026681,15.95813547,55.1975968,245.500846,320.663113,506.734127,22.67855184,20.59196707,33.71239632,28.49743361,17.48404597,0.819,"8,121,724"
Isparta,511,1256,1661,1370,8226,21562,24210,27294,588,1627,2134,2310,212,166,138,93,84.39,94.03,95.98,95.27,13.98979592,13.25261217,11.34489222,11.81558442,38.80188679,129.8915663,175.4347826,293.483871,16.09784736,17.16719745,14.57555689,19.92262774,52.24934803,0.819,"4,247,454"
Mersin,1929,6432,3736,5486,42783,127622,133856,129393,2605,7882,9283,9320,700,470,423,315,83.96,94.09,96.56,87.04,16.42341651,16.19157574,14.41947646,13.8833691,61.11857143,271.5361702,316.4444444,410.7714286,22.17884914,19.84172886,35.82869379,23.58603719,23.75631264,0.819,"10,302,020"
İstanbul,15350,34965,26950,34235,281010,917466,990111,1053598,15785,43685,47738,59507,4181,1600,1791,1848,66.15,94.58,96.59,89.24,17.802344,21.00185418,20.74052118,17.70544642,67.21119349,573.41625,552.8257956,570.1287879,18.30684039,26.23955384,36.73881262,30.77546371,16.01443039,0.871,"51,921,746"
İzmir,4543,10592,8152,9623,78439,226705,247398,258307,5193,15219,16995,18865,1485,812,689,569,73.74,94.31,96.45,89.37,15.1047564,14.8961824,14.55710503,13.69239332,52.82087542,279.1933498,359.0682148,453.9666081,17.26590359,21.40341767,30.34813543,26.84266861,27.92094706,0.84,"22,639,672"
Kars,368,1654,1015,819,5523,20053,23163,18913,353,1527,1859,1190,264,349,170,51,64.04,91.5,96.65,72.65,15.64589235,13.13228553,12.45992469,15.89327731,20.92045455,57.45845272,136.2529412,370.8431373,15.00815217,12.12394196,22.82068966,23.09279609,46.64128185,0.8,"3,155,376"
Kastamonu,288,1048,884,995,5093,15917,18738,21736,361,1095,1660,1676,122,113,109,81,74.14,94.07,97.78,91.4,14.10803324,14.53607306,11.28795181,12.96897375,41.74590164,140.8584071,171.9082569,268.345679,17.68402778,15.1879771,21.19683258,21.84522613,59.60082298,0.813,"3,664,497"
Kayseri,1330,5306,2814,3888,27171,96681,105197,107645,1869,5405,6774,6754,437,391,344,223,70.86,94.51,96.89,90.84,14.53772071,17.88732655,15.52952465,15.93796269,62.17620137,247.2659847,305.8052326,482.7130045,20.42932331,18.22107049,37.38343994,27.68647119,26.75744742,0.82,"9,009,072"
Kırklareli,365,992,809,813,6334,14462,15978,17215,334,942,1153,1356,139,81,74,59,84.32,94.33,96.12,87.4,18.96407186,15.35244161,13.85776236,12.69542773,45.56834532,178.5432099,215.9189189,291.779661,17.35342466,14.57862903,19.75030902,21.17466175,40.51149308,0.842,"2,187,175"
Kırşehir,207,878,645,846,4140,12401,13455,14734,316,1040,1192,1367,80,68,60,59,81.07,92.82,94.49,92.33,13.10126582,11.92403846,11.28775168,10.77834674,51.75,182.3676471,224.25,249.7288136,20,14.12414579,20.86046512,17.41607565,31.36123407,0.82,"1,402,788"
Kocaeli,2540,6359,4535,5057,50682,121760,130507,141798,2924,6931,8187,9174,789,348,360,296,92.09,94.43,96.84,92.24,17.33310534,17.56745058,15.94075974,15.45650752,64.23574144,349.8850575,362.5194444,479.0472973,19.95354331,19.14766473,28.77772878,28.03994463,22.03656236,0.842,"9,800,695"
Konya,2150,7551,5845,6284,39402,148795,158810,161777,2663,9016,11527,10581,940,728,594,374,66.33,93.72,95.64,86.16,14.79609463,16.50343833,13.7772187,15.28938664,41.91702128,204.3887363,267.3569024,432.5588235,18.32651163,19.70533704,27.17023097,25.74427116,22.22430737,0.82,"11,307,372"
Kütahya,643,1976,1635,1632,9627,26676,29925,34939,670,1951,2457,2674,261,213,170,113,80.92,94.42,97.1,92.98,14.36865672,13.67298821,12.17948718,13.06619297,36.88505747,125.2394366,176.0294118,309.1946903,14.97200622,13.5,18.30275229,21.40870098,27.20868465,0.82,"2,752,621"
Malatya,769,2687,2162,2739,14746,51483,57092,62135,894,3263,4498,4884,315,301,246,169,73.19,94.02,97.13,93.23,16.49440716,15.77781183,12.69275233,12.72215397,46.81269841,171.0398671,232.0813008,367.6627219,19.17555267,19.16002977,26.40703053,22.6852866,26.38535825,0.777,"4,893,323"
Manisa,1311,4665,3362,3268,24993,77918,84711,85556,1431,5112,6300,5960,547,469,334,204,74.08,94.51,96.98,87.74,17.46540881,15.24217527,13.44619048,14.35503356,45.69104205,166.1364606,253.6257485,419.3921569,19.06407323,16.70267953,25.19660916,26.17992656,21.72211525,0.84,"5,934,004"
Kahramanmaraş,1017,3671,3557,3048,22224,95859,102095,93189,1201,5039,6095,5562,458,477,326,190,62.92,93.36,95.7,83.16,18.50457952,19.02341734,16.75061526,16.75458468,48.52401747,200.9622642,313.1748466,490.4684211,21.85250737,26.11250341,28.70255834,30.5738189,17.91235516,0.819,"5,613,141"
Mardin,820,3404,2251,2389,18597,77795,82592,68130,1001,4246,5156,3890,536,603,342,142,60.06,91.36,95.47,71.78,18.57842158,18.32195007,16.01861908,17.51413882,34.69589552,129.013267,241.497076,479.7887324,22.67926829,22.8539953,36.69124833,28.51820846,21.32808744,0.765,"5,270,469"
Muğla,1032,3157,2271,2348,17001,48061,51975,54290,1225,3637,4428,4458,407,324,248,166,81.2,93.91,95.73,88.17,13.87836735,13.21446247,11.73780488,12.17810677,41.77149877,148.3364198,209.5766129,327.0481928,16.47383721,15.22363003,22.88639366,23.12180579,28.92520152,0.84,"4,955,668"
Muş,449,2416,1536,1041,8633,36435,40546,28715,480,2460,2944,1722,314,418,191,62,60.61,91.49,92.25,56.39,17.98541667,14.81097561,13.77241848,16.67537747,27.49363057,87.16507177,212.2827225,463.1451613,19.22717149,15.08071192,26.39713542,27.58405379,21.94895433,0.842,"2,509,402"
Nevşehir,401,1182,1192,930,6505,17113,18928,19266,409,1258,1607,1434,172,128,110,63,88.01,93.42,96.74,86.72,15.90464548,13.60333863,11.7784692,13.43514644,37.81976744,133.6953125,172.0727273,305.8095238,16.22194514,14.47800338,15.87919463,20.71612903,24.39303048,0.82,"1,507,782"
Niğde,389,1396,1472,1067,6800,22218,25063,24206,425,1447,1817,1697,179,166,134,63,74.59,93.3,96.45,81.97,16,15.35452661,13.79361585,14.26399529,37.98882682,133.8433735,187.0373134,384.2222222,17.48071979,15.91547278,17.02649457,22.68603561,24.16171267,0.82,"1,891,548"
Ordu,687,2175,1859,2091,12737,36802,42618,45863,896,2513,3396,3877,283,201,210,134,79.21,93.67,97.3,91.37,14.21540179,14.64464783,12.54946996,11.82950735,45.00706714,183.0945274,202.9428571,342.261194,18.54002911,16.92045977,22.92522862,21.93352463,23.31386756,0.824,"3,217,780"
Rize,375,1309,876,1124,5970,15830,18969,24195,430,1153,1501,2021,143,89,98,82,78.49,92.73,98.91,100,13.88372093,13.72940156,12.63757495,11.97179614,41.74825175,177.8651685,193.5612245,295.0609756,15.92,12.09320092,21.65410959,21.52580071,30.08249184,0.824,"1,954,279"
Sakarya,1180,2588,3138,2683,18779,57697,63483,69394,1293,3744,4292,4949,472,278,269,160,71.7,94.54,96.33,90.01,14.52358855,15.4105235,14.79100652,14.02182259,39.78601695,207.5431655,235.9962825,433.7125,15.91440678,22.29404946,20.23040153,25.86433097,21.43452446,0.842,"4,487,382"
Samsun,1423,4233,3674,3640,24384,70841,80277,91641,1608,4961,6458,6694,576,426,333,213,77.87,93.79,97.3,91.2,15.1641791,14.27958073,12.43062868,13.69002091,42.33333333,166.2934272,241.0720721,430.2394366,17.13562895,16.73541224,21.85002722,25.1760989,35.00118663,0.824,"9,350,322"
Siirt,392,1830,967,1055,8707,29202,33438,28627,486,1869,2215,1525,229,293,142,61,67.28,91.55,94.67,67.84,17.91563786,15.62439807,15.09616253,18.77180328,38.02183406,99.66552901,235.4788732,469.295082,22.21173469,15.95737705,34.57911065,27.13459716,30.88059896,0.765,"3,087,257"
Sinop,198,704,495,579,3374,9346,10491,11887,243,664,831,994,85,57,50,43,75.77,92.45,94.34,86.12,13.88477366,14.0753012,12.62454874,11.95875252,39.69411765,163.9649123,209.82,276.4418605,17.04040404,13.27556818,21.19393939,20.53022453,36.56154197,0.813,"1,283,237"
Sivas,533,2486,1855,1836,9952,33639,39165,44990,656,2415,3399,3350,269,294,210,126,70.56,93.44,96.82,90.11,15.17073171,13.92919255,11.52250662,13.42985075,36.99628253,114.4183673,186.5,357.0634921,18.67166979,13.5313757,21.11320755,24.5043573,35.56786905,0.8,"4,543,653"
Tekirdağ,1023,2817,1786,2547,21066,60107,63657,64880,1263,3192,3539,4216,346,179,180,147,74.55,94.89,95.86,85.47,16.67933492,18.83051378,17.98728454,15.38899431,60.88439306,335.7932961,353.65,441.3605442,20.59237537,21.3372382,35.64221725,25.47310561,19.18340089,0.842,"4,022,951"
Tokat,592,2113,1631,1616,10314,28993,34032,39981,708,2212,2900,3114,332,293,191,116,72.07,86.24,89.39,85.98,14.56779661,13.10714286,11.73517241,12.83911368,31.06626506,98.95221843,178.1780105,344.6637931,17.4222973,13.72124941,20.86572655,24.74071782,28.54355807,0.82,"3,234,556"
Trabzon,790,2699,1903,2433,15128,41273,45875,52341,957,2734,4135,4306,318,203,221,149,81.36,93.92,97.62,94.93,15.8077325,15.09619605,11.09431681,12.15536461,47.57232704,203.3152709,207.5791855,351.2818792,19.14936709,15.29195999,24.10667367,21.51294698,49.83062018,0.824,"7,704,661"
Tunceli,84,252,164,257,1544,2966,2965,3205,96,260,325,365,31,28,25,26,79.8,92.09,94.7,85.04,16.08333333,11.40769231,9.123076923,8.780821918,49.80645161,105.9285714,118.6,123.2692308,18.38095238,11.76984127,18.07926829,12.47081712,221.7365169,0.777,"2,368,146"
Şanlıurfa,1967,8578,6527,6041,53694,242626,238413,152168,2615,11387,12314,8989,1130,1288,791,299,54.41,91.79,93.43,62.44,20.53307839,21.30728023,19.36113367,16.92824563,47.51681416,188.3742236,301.4070796,508.9230769,27.29740722,28.28468174,36.52719473,25.18920708,13.0512199,0.765,"8,964,896"
Uşak,410,1175,922,939,6596,18561,20057,22398,458,1420,1737,1742,161,122,97,64,79.26,94.21,96.61,91.4,14.40174672,13.07112676,11.54691998,12.8576349,40.9689441,152.1393443,206.7731959,349.96875,16.08780488,15.79659574,21.7537961,23.85303514,23.17298704,0.82,"1,566,772"
Van,1181,5635,2708,3360,28119,100708,113796,91171,1391,6232,7449,5388,760,871,410,174,72.67,91.91,94.5,67.08,20.21495327,16.15982028,15.27668143,16.92112101,36.99868421,115.6234214,277.5512195,523.9712644,23.80948349,17.87187223,42.02215657,27.13422619,24.14672223,0.777,"8,060,031"
Yozgat,349,2157,940,1450,6152,21716,26023,27439,395,1626,2079,2103,193,185,182,102,65.04,90.39,92.26,83.19,15.57468354,13.35547355,12.51707552,13.04755112,31.87564767,117.3837838,142.9835165,269.0098039,17.62750716,10.0676866,27.68404255,18.92344828,30.74962498,0.82,"2,500,867"
Zonguldak,489,1612,1663,1591,8387,28075,32682,35886,581,2046,2266,2548,257,204,134,93,71.22,94.55,97.6,91.92,14.43545611,13.72189638,14.4227714,14.08398744,32.63424125,137.622549,243.8955224,385.8709677,17.15132924,17.4162531,19.65243536,22.55562539,24.30974007,0.813,"2,553,252"
Aksaray,459,1791,1420,1137,7596,27052,29324,27773,521,1662,2092,1812,222,200,138,79,69.6,92.29,94.34,81.85,14.57965451,16.27677497,14.01720841,15.32726269,34.21621622,135.26,212.4927536,351.556962,16.54901961,15.10441094,20.65070423,24.42656113,18.79655567,0.82,"1,724,490"
Bayburt,81,231,390,210,1164,4129,4621,5631,80,302,445,360,37,45,57,17,59.6,90.11,92.5,88.97,14.55,13.67218543,10.38426966,15.64166667,31.45945946,91.75555556,81.07017544,331.2352941,14.37037037,17.87445887,11.84871795,26.81428571,57.68877453,0.824,"896,772"
Karaman,299,1123,779,860,5110,14284,16160,18511,353,992,1131,1268,117,90,78,52,80.81,93.39,96.69,92.7,14.47592068,14.39919355,14.2882405,14.59858044,43.67521368,158.7111111,207.1794872,355.9807692,17.090301,12.71950134,20.74454429,21.5244186,22.74935726,0.82,"1,229,944"
Kırıkkale,307,964,842,915,4692,13853,16179,18235,306,1023,1268,1572,112,76,76,62,78.29,94.33,96.86,91.24,15.33333333,13.54154448,12.75946372,11.59987277,41.89285714,182.2763158,212.8815789,294.1129032,15.28338762,14.37033195,19.21496437,19.92896175,33.671274,0.82,"1,783,197"
Batman,626,2934,1563,2133,14860,53621,60961,54696,825,3050,3789,3263,334,367,193,95,73.73,91.84,95.88,74.89,18.01212121,17.58065574,16.08894167,16.76248851,44.49101796,146.106267,315.8601036,575.7473684,23.73801917,18.27573279,39.00255918,25.64275668,17.8168819,0.765,"3,280,765"
Şırnak,500,1951,1940,1596,13596,49695,57988,45271,667,2790,3880,2350,292,294,252,92,62.95,89.88,93.41,67.13,20.3838081,17.81182796,14.94536082,19.26425532,46.56164384,169.0306122,230.1111111,492.076087,27.192,25.47155305,29.89072165,28.36528822,36.11981987,0.765,"6,015,756"
Bartın,184,630,613,521,2826,8650,9824,11819,204,607,803,904,93,65,47,35,72.25,94.64,98.24,95.93,13.85294118,14.25041186,12.23412204,13.07411504,30.38709677,133.0769231,209.0212766,337.6857143,15.35869565,13.73015873,16.02610114,22.68522073,31.69165736,0.813,"1,049,596"
Ardahan,109,394,385,388,1595,5103,6318,6308,103,435,570,497,69,76,54,27,64.5,91.81,98.43,83.35,15.48543689,11.73103448,11.08421053,12.69215292,23.11594203,67.14473684,117,233.6296296,14.63302752,12.95177665,16.41038961,16.25773196,42.99601532,0.824,"830,855"
Iğdır,228,1002,651,633,4546,15802,16800,14663,253,1119,1332,1024,129,138,93,37,64.75,92.19,96.31,75.91,17.96837945,14.12153709,12.61261261,14.31933594,35.24031008,114.5072464,180.6451613,396.2972973,19.93859649,15.77045908,25.80645161,23.164297,30.78350157,0.777,"1,594,924"
Yalova,312,825,614,689,5762,14248,15457,15886,318,873,1098,1238,120,61,68,48,80.23,93.86,95.1,88.67,18.11949686,16.3207331,14.07741348,12.83198708,48.01666667,233.5737705,227.3088235,330.9583333,18.46794872,17.27030303,25.1742671,23.05660377,27.08295523,0.842,"1,390,791"
Karabük,194,589,610,761,3728,10609,12201,14494,287,789,1061,1255,104,62,79,47,78.79,94.83,97.11,96.43,12.98954704,13.44613435,11.49952875,11.54900398,35.84615385,171.1129032,154.443038,308.3829787,19.21649485,18.01188455,20.00163934,19.04599212,36.4595194,0.813,"1,496,007"
Kilis,158,550,618,448,4923,18695,17965,13141,265,951,1086,741,86,93,47,27,77.25,92.95,94.91,82.03,18.57735849,19.65825447,16.54235727,17.73414305,57.24418605,201.0215054,382.2340426,486.7037037,31.15822785,33.99090909,29.06957929,29.33258929,23.74722243,0.765,"1,299,543"
Osmaniye,534,2037,1731,1645,11630,43887,45839,42334,712,2496,2906,2796,237,179,139,102,72.59,93.92,92.84,84.27,16.33426966,17.58293269,15.77391604,15.14091559,49.07172996,245.1787709,329.7769784,415.0392157,21.77902622,21.544919,26.48122473,25.73495441,17.65008003,0.819,"2,536,140"
Düzce,573,1550,893,1028,8704,20562,23636,24713,532,1348,1719,1758,201,110,107,62,85.05,93.52,96.37,88.87,16.36090226,15.2537092,13.74985457,14.05745165,43.30348259,186.9272727,220.8971963,398.5967742,15.19022688,13.26580645,26.46808511,24.03988327,20.98006829,0.85,"1,628,368"
